City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Vila Velha,BR,-20.3297,-40.2925,71.55,96,75,5.01,broken clouds
212,Buala,SB,-8.145,159.5921,84.45,75,50,10.76,light rain
213,South River,US,40.4465,-74.386,59.92,48,9,8.95,clear sky
214,Esperance,AU,-33.8667,121.9,58.84,59,100,8.66,overcast clouds
215,Beira,MZ,-19.8436,34.8389,78.89,83,75,8.05,broken clouds
216,Mogadishu,SO,2.0371,45.3438,78.91,77,47,11.43,scattered clouds
217,Inuvik,CA,68.3499,-133.7218,20.26,93,90,3.44,light snow
218,Vardo,NO,70.3705,31.1107,37.8,81,93,17.09,overcast clouds
219,Shingu,JP,33.7333,135.9833,58.19,62,38,6.89,scattered clouds
220,Sechura,PE,-5.5569,-80.8222,65.8,76,84,15.59,broken clouds
221,Butaritari,KI,3.0707,172.7902,82.96,67,11,14.94,few clouds
222,Lamar,US,33.6668,-95.5836,67.91,80,90,10.36,moderate rain
223,Miri,MY,4.4148,114.0089,80.74,89,40,4.61,scattered clouds
224,Yulara,AU,-25.2406,130.9889,58.84,58,90,18.41,overcast clouds
225,Murshidabad,IN,24.1833,88.2667,68.14,70,100,3.96,overcast clouds
226,Los Algarrobos,PA,8.5,-82.4333,72.01,100,75,3.44,thunderstorm
227,Prado,BR,-17.3411,-39.2208,76.87,87,100,8.37,overcast clouds
228,Srandakan,ID,-7.9386,110.2506,81.48,75,100,3.04,overcast clouds
229,Cayenne,GF,4.9333,-52.3333,79.09,87,90,1.14,overcast clouds
230,Shelburne,CA,44.0787,-80.2041,42.69,71,100,2.98,overcast clouds
231,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,90,10.36,overcast clouds
232,Tomatlan,MX,19.9333,-105.25,74.1,85,7,2.06,clear sky
233,Luderitz,NA,-26.6481,15.1594,62.69,63,0,20.0,clear sky
234,Bouza,NE,14.4229,6.0428,80.04,22,0,2.75,clear sky
235,Lesozavodsk,RU,45.4794,133.4244,29.28,76,100,14.94,light snow
236,Qaqortoq,GL,60.7167,-46.0333,12.7,70,55,5.41,broken clouds
237,Canoinhas,BR,-26.1772,-50.39,57.74,94,100,4.07,overcast clouds
238,Atar,MR,20.5169,-13.0499,76.53,28,100,6.31,overcast clouds
239,Oranjemund,NA,-28.55,16.4333,59.74,86,1,15.41,clear sky
240,Cam Ranh,VN,11.9214,109.1591,76.96,94,75,18.41,broken clouds
241,Bocana De Paiwas,NI,12.7857,-85.1227,72.18,86,66,4.97,broken clouds
242,Ontario,US,34.0633,-117.6509,82.85,42,1,1.01,clear sky
243,Anloga,GH,5.7947,0.8973,80.82,81,93,11.01,overcast clouds
244,Kalininaul,RU,43.0712,46.5668,30.92,91,99,5.73,overcast clouds
245,Charlestown,AU,-32.95,151.6667,69.58,87,100,1.99,overcast clouds
246,Egvekinot,RU,66.3167,-179.1667,2.7,90,37,3.51,scattered clouds
247,Tondano,ID,1.3038,124.9112,77.85,73,100,2.24,overcast clouds
248,Adrar,MR,20.5022,-10.0711,69.78,12,100,9.15,overcast clouds
249,Ayan,RU,56.45,138.1667,30.13,97,100,28.01,snow
250,Saint George,US,37.1041,-113.5841,72.63,26,1,5.01,clear sky
251,Hanna,CA,51.6334,-111.9018,40.51,45,0,7.0,clear sky
252,Ekibastuz,KZ,51.6667,75.3667,37.51,60,100,17.0,overcast clouds
253,Cidreira,BR,-30.1811,-50.2056,65.57,63,100,14.56,overcast clouds
254,Czestochowa,PL,50.7965,19.1241,43.61,71,100,11.5,overcast clouds
255,Celestun,MX,20.8667,-90.4,74.28,61,8,9.19,clear sky
256,Makushino,RU,55.2103,67.2442,24.82,83,76,10.58,broken clouds
257,Carnarvon,AU,-24.8667,113.6333,73.47,35,0,14.97,clear sky
258,San Vicente,AR,-26.6167,-54.1333,62.96,98,100,0.81,light rain
259,Rantauprapat,ID,2.1,99.8333,74.97,95,100,0.76,overcast clouds
260,Nanortalik,GL,60.1432,-45.2371,21.2,56,100,2.64,overcast clouds
261,Alekseyevka,RU,50.6309,38.6903,25.63,63,11,5.57,few clouds
262,Manaus,BR,-3.1019,-60.025,79.29,89,20,1.14,few clouds
263,Avanigadda,IN,16.0215,80.9181,75.34,95,100,16.26,overcast clouds
264,Sovetskiy,RU,61.3614,63.5842,7.47,97,42,3.04,scattered clouds
265,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,73,100,12.66,overcast clouds
266,Beaverlodge,CA,55.2166,-119.4361,34.95,76,37,5.86,scattered clouds
267,Khandyga,RU,62.6667,135.6,8.89,96,100,0.87,overcast clouds
268,Nizhniy Odes,RU,63.6445,54.856,20.05,91,100,12.01,light snow
269,Padang,ID,-0.9492,100.3543,73.45,80,100,4.03,overcast clouds
270,Zabol,AF,32.25,67.25,38.52,66,0,3.71,clear sky
271,Margate,GB,51.3813,1.3862,54.03,94,100,5.88,overcast clouds
272,Kayerkan,RU,69.3497,87.7602,-9.54,100,87,1.23,overcast clouds
273,Hervey Bay,AU,-25.2986,152.8535,85.03,82,99,21.0,overcast clouds
274,Tura,IN,25.5198,90.2201,62.78,80,100,3.22,overcast clouds
275,Narsaq,GL,60.9167,-46.05,12.42,66,57,6.15,broken clouds
276,Beruwala,LK,6.4788,79.9828,77.97,87,67,10.25,broken clouds
277,Chifeng,CN,42.2683,118.9636,30.92,51,0,21.92,clear sky
278,Okha,RU,53.5739,142.9478,40.21,74,6,21.25,clear sky
279,Pevek,RU,69.7008,170.3133,-4.88,100,86,5.32,overcast clouds
280,Pisco,PE,-13.7,-76.2167,64.45,82,0,16.11,clear sky
281,Rocha,UY,-34.4833,-54.3333,52.81,84,0,5.93,clear sky
282,Lompoc,US,34.6391,-120.4579,78.94,63,1,9.22,clear sky
283,Namatanai,PG,-3.6667,152.4333,85.03,69,76,5.35,light rain
284,Log,RU,49.4844,43.8613,25.3,65,7,6.33,clear sky
285,Cabo San Lucas,MX,22.8909,-109.9124,84.51,54,1,11.5,clear sky
286,Paidha,UG,2.4167,30.9855,61.45,88,99,4.18,light rain
287,Lake Havasu City,US,34.4839,-114.3224,83.01,15,1,20.71,clear sky
288,Kutum,SD,14.2,24.6667,69.35,23,5,6.58,clear sky
289,Henderson,US,36.0397,-114.9819,78.12,25,1,6.91,clear sky
290,Atambua,ID,-9.1061,124.8925,84.85,64,34,2.8,scattered clouds
291,Marovoay,MG,-16.1,46.6333,82.54,84,100,2.59,moderate rain
292,Hede,CN,33.7681,120.2517,50.29,56,0,11.03,clear sky
