City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Pahrump,US,2021-11-07 18:16:45,36.2083,-115.9839,77.11,15,0,1.01
256,Aasiaat,GL,2021-11-07 18:21:20,68.7098,-52.8699,15.35,94,100,5.59
257,Scarborough,GB,2021-11-07 18:21:20,54.2797,-0.4044,48.02,78,67,4.0
258,Alofi,NU,2021-11-07 18:21:21,-19.0595,-169.9187,75.09,94,97,8.05
259,Torit,SS,2021-11-07 18:21:21,4.4133,32.5678,77.7,67,88,4.21
260,Aklavik,CA,2021-11-07 18:21:21,68.2191,-135.0107,11.23,85,90,2.3
261,Hay River,CA,2021-11-07 18:21:22,60.8156,-115.7999,28.38,93,75,1.14
262,Bandarbeyla,SO,2021-11-07 18:21:22,9.4942,50.8122,78.66,72,9,12.88
263,Bengkulu,ID,2021-11-07 18:21:22,-3.8004,102.2655,77.83,85,100,7.92
264,Kalabo,ZM,2021-11-07 18:21:23,-14.97,22.6814,84.85,19,32,3.33
265,Pangnirtung,CA,2021-11-07 18:21:23,66.1451,-65.7125,19.4,63,20,5.75
266,Bitlis,TR,2021-11-07 18:21:23,38.5,42.25,41.9,53,0,4.74
267,Ignacio Zaragoza,MX,2021-11-07 18:21:23,28.3833,-107.2167,71.74,31,81,5.55
268,Los Llanos De Aridane,ES,2021-11-07 18:21:24,28.6585,-17.9182,65.95,71,75,13.0
269,Karratha,AU,2021-11-07 18:21:24,-20.7377,116.8463,74.32,68,11,16.71
270,Lima,PE,2021-11-07 18:21:25,-12.0432,-77.0282,73.9,67,90,6.91
271,Newport,GB,2021-11-07 18:21:25,51.5877,-2.9984,50.83,82,96,8.93
272,Ludza,LV,2021-11-07 18:21:25,56.55,27.7167,41.18,95,100,12.08
273,Avarua,CK,2021-11-07 18:18:16,-21.2078,-159.775,75.25,64,40,10.36
274,Camacha,PT,2021-11-07 18:21:25,33.0833,-16.3333,63.82,55,40,10.36
275,Lyuban,BY,2021-11-07 18:22:26,52.7985,28.0048,44.98,62,72,15.77
276,Kindia,GN,2021-11-07 18:22:26,10.0569,-12.8658,80.22,75,21,3.13
277,Catamarca,AR,2021-11-07 18:20:45,-28.4696,-65.7852,84.78,51,4,1.99
278,Palauig,PH,2021-11-07 18:22:27,15.435,119.9045,80.96,77,84,4.03
279,Piedras,CO,2021-11-07 18:22:27,4.5383,-74.8818,85.69,63,95,3.87
280,Atasu,KZ,2021-11-07 18:22:27,48.6814,71.6433,32.02,18,12,4.9
281,Yabrud,SY,2021-11-07 18:22:28,33.9674,36.6574,47.86,34,1,4.03
282,Bucarasica,CO,2021-11-07 18:22:28,8.041,-72.8654,81.5,41,100,5.59
283,San Policarpo,PH,2021-11-07 18:22:28,12.1791,125.5072,81.28,84,99,8.03
284,Harper,LR,2021-11-07 18:22:28,4.375,-7.7169,79.61,84,95,8.5
285,Chapais,CA,2021-11-07 18:22:29,49.7834,-74.8492,38.98,89,100,7.34
286,Mankono,CI,2021-11-07 18:22:29,8.0586,-6.1897,82.81,56,12,4.76
287,Lata,PT,2021-11-07 18:22:29,40.1629,-8.3327,54.81,62,4,4.29
288,Tateyama,JP,2021-11-07 18:22:30,34.9833,139.8667,59.02,64,79,15.37
289,Kota Kinabalu,MY,2021-11-07 18:22:30,5.9749,116.0724,76.87,100,20,4.61
290,Prince Rupert,CA,2021-11-07 18:22:30,54.3161,-130.3201,44.29,65,96,11.5
291,Deputatskiy,RU,2021-11-07 18:22:31,69.3,139.9,-20.0,87,9,4.79
292,Kodinsk,RU,2021-11-07 18:22:31,58.6881,99.1844,30.81,95,100,13.35
293,Quijingue,BR,2021-11-07 18:22:31,-10.7525,-39.2092,85.21,54,77,2.68
